record_no,index,seed,fundamental_freq,fundamental_amp,fundamental_phase,overtone_freqs,overtone_amps,overtone_phases,full_tone_adsr,full_tone_hold,full_tone_sustain_hold,chorus_delay,chorus_depth,chorus_rate,chorus_wet_level,filename,vanilla,chorus
528,263,1583,739.9888454232688,0.65,5.235987755982988,"[1479.9776908465376, 2219.9665362698065, 2959.955381693075, 3699.944227116344, 4439.933072539613]","[0.15000000000000002, 0.2, 0.55, 0.30000000000000004, 0.65]","[5.759586531581287, 0.0, 4.1887902047863905, 1.5707963267948966, 1.5707963267948966]","[1200, 0, 50, 250, 20]",0.7,250,10,6,1,0.5,CHR_263_1583_740.wav,0,1
529,264,1589,311.1269837220809,0.55,5.759586531581287,"[622.2539674441618, 933.3809511662428, 1244.5079348883237, 1555.6349186104046, 1866.7619023324855]","[0.9500000000000001, 0.55, 0.1, 0.9500000000000001, 0.05]","[2.617993877991494, 1.0471975511965976, 1.0471975511965976, 1.0471975511965976, 4.71238898038469]","[1500, 0, 100, 50, 300]",0.4,50,0,0,0,0,VNL_264_1589_311.wav,1,0
530,264,1589,311.1269837220809,0.55,5.759586531581287,"[622.2539674441618, 933.3809511662428, 1244.5079348883237, 1555.6349186104046, 1866.7619023324855]","[0.9500000000000001, 0.55, 0.1, 0.9500000000000001, 0.05]","[2.617993877991494, 1.0471975511965976, 1.0471975511965976, 1.0471975511965976, 4.71238898038469]","[1500, 0, 100, 50, 300]",0.4,50,30,10,1,0.5,CHR_264_1589_311.wav,0,1
531,265,1595,36.70809598967594,0.65,3.141592653589793,"[73.41619197935188, 110.12428796902782, 146.83238395870376, 183.5404799483797, 220.24857593805564]","[0.8500000000000001, 0.55, 0.65, 0.8500000000000001, 0.35000000000000003]","[5.759586531581287, 1.5707963267948966, 0.5235987755982988, 1.0471975511965976, 0.0]","[300, 20, 1000, 150, 200]",0.4,150,0,0,0,0,VNL_265_1595_37.wav,1,0
532,265,1595,36.70809598967594,0.65,3.141592653589793,"[73.41619197935188, 110.12428796902782, 146.83238395870376, 183.5404799483797, 220.24857593805564]","[0.8500000000000001, 0.55, 0.65, 0.8500000000000001, 0.35000000000000003]","[5.759586531581287, 1.5707963267948966, 0.5235987755982988, 1.0471975511965976, 0.0]","[300, 20, 1000, 150, 200]",0.4,150,30,2,3,0.5,CHR_265_1595_37.wav,0,1
533,266,1601,61.7354126570155,0.5,4.71238898038469,"[123.470825314031, 185.2062379710465, 246.941650628062, 308.6770632850775, 370.412475942093]","[0.8, 0.75, 0.8500000000000001, 0.0, 0.6000000000000001]","[3.665191429188092, 3.141592653589793, 3.665191429188092, 2.617993877991494, 3.665191429188092]","[1000, 0, 500, 0, 400]",0.5,0,0,0,0,0,VNL_266_1601_62.wav,1,0
534,266,1601,61.7354126570155,0.5,4.71238898038469,"[123.470825314031, 185.2062379710465, 246.941650628062, 308.6770632850775, 370.412475942093]","[0.8, 0.75, 0.8500000000000001, 0.0, 0.6000000000000001]","[3.665191429188092, 3.141592653589793, 3.665191429188092, 2.617993877991494, 3.665191429188092]","[1000, 0, 500, 0, 400]",0.5,0,3,3,1,0.5,CHR_266_1601_62.wav,0,1
535,267,1607,195.99771799087463,0.55,3.665191429188092,"[391.99543598174927, 587.9931539726239, 783.9908719634985, 979.9885899543732, 1175.9863079452477]","[0.8, 0.0, 0.2, 0.8, 0.15000000000000002]","[0.0, 2.0943951023931953, 0.5235987755982988, 4.1887902047863905, 4.1887902047863905]","[1500, 40, 100, 150, 100]",0.5,150,0,0,0,0,VNL_267_1607_196.wav,1,0
536,267,1607,195.99771799087463,0.55,3.665191429188092,"[391.99543598174927, 587.9931539726239, 783.9908719634985, 979.9885899543732, 1175.9863079452477]","[0.8, 0.0, 0.2, 0.8, 0.15000000000000002]","[0.0, 2.0943951023931953, 0.5235987755982988, 4.1887902047863905, 4.1887902047863905]","[1500, 40, 100, 150, 100]",0.5,150,1,7,4,0.5,CHR_267_1607_196.wav,0,1
537,268,1613,103.82617439498628,0.65,4.1887902047863905,"[207.65234878997256, 311.4785231849588, 415.3046975799451, 519.1308719749314, 622.9570463699176]","[0.65, 0.45, 0.45, 0.2, 0.5]","[5.759586531581287, 5.235987755982988, 4.71238898038469, 3.665191429188092, 5.759586531581287]","[1000, 0, 20, 20, 500]",0.5,20,0,0,0,0,VNL_268_1613_104.wav,1,0
538,268,1613,103.82617439498628,0.65,4.1887902047863905,"[207.65234878997256, 311.4785231849588, 415.3046975799451, 519.1308719749314, 622.9570463699176]","[0.65, 0.45, 0.45, 0.2, 0.5]","[5.759586531581287, 5.235987755982988, 4.71238898038469, 3.665191429188092, 5.759586531581287]","[1000, 0, 20, 20, 500]",0.5,20,2,6,1,0.5,CHR_268_1613_104.wav,0,1
539,269,1619,116.54094037952248,0.30000000000000004,1.5707963267948966,"[233.08188075904496, 349.6228211385675, 466.1637615180899, 582.7047018976124, 699.245642277135]","[0.55, 0.9, 0.75, 0.1, 0.05]","[5.235987755982988, 2.617993877991494, 5.235987755982988, 2.0943951023931953, 1.5707963267948966]","[500, 40, 500, 200, 500]",0.5,200,0,0,0,0,VNL_269_1619_117.wav,1,0
540,269,1619,116.54094037952248,0.30000000000000004,1.5707963267948966,"[233.08188075904496, 349.6228211385675, 466.1637615180899, 582.7047018976124, 699.245642277135]","[0.55, 0.9, 0.75, 0.1, 0.05]","[5.235987755982988, 2.617993877991494, 5.235987755982988, 2.0943951023931953, 1.5707963267948966]","[500, 40, 500, 200, 500]",0.5,200,4,3,2,0.5,CHR_269_1619_117.wav,0,1
541,270,1625,48.999429497718666,0.45000000000000007,0.5235987755982988,"[97.99885899543733, 146.998288493156, 195.99771799087466, 244.99714748859333, 293.996576986312]","[0.25, 0.7000000000000001, 0.2, 0.35000000000000003, 0.5]","[5.235987755982988, 3.665191429188092, 3.141592653589793, 0.0, 2.0943951023931953]","[1200, 0, 50, 300, 100]",0.6,300,0,0,0,0,VNL_270_1625_49.wav,1,0
542,270,1625,48.999429497718666,0.45000000000000007,0.5235987755982988,"[97.99885899543733, 146.998288493156, 195.99771799087466, 244.99714748859333, 293.996576986312]","[0.25, 0.7000000000000001, 0.2, 0.35000000000000003, 0.5]","[5.235987755982988, 3.665191429188092, 3.141592653589793, 0.0, 2.0943951023931953]","[1200, 0, 50, 300, 100]",0.6,300,30,6,1,0.5,CHR_270_1625_49.wav,0,1
543,271,1631,277.1826309768721,0.35,1.0471975511965976,"[554.3652619537442, 831.5478929306162, 1108.7305239074883, 1385.9131548843604, 1663.0957858612323]","[0.55, 0.15000000000000002, 0.9500000000000001, 0.05, 0.05]","[3.141592653589793, 4.71238898038469, 3.665191429188092, 2.0943951023931953, 2.617993877991494]","[50, 40, 200, 20, 1500]",0.8,20,0,0,0,0,VNL_271_1631_277.wav,1,0
544,271,1631,277.1826309768721,0.35,1.0471975511965976,"[554.3652619537442, 831.5478929306162, 1108.7305239074883, 1385.9131548843604, 1663.0957858612323]","[0.55, 0.15000000000000002, 0.9500000000000001, 0.05, 0.05]","[3.141592653589793, 4.71238898038469, 3.665191429188092, 2.0943951023931953, 2.617993877991494]","[50, 40, 200, 20, 1500]",0.8,20,5,2,3,0.5,CHR_271_1631_277.wav,0,1
545,272,1637,116.54094037952248,0.30000000000000004,0.0,"[233.08188075904496, 349.6228211385675, 466.1637615180899, 582.7047018976124, 699.245642277135]","[0.8500000000000001, 0.15000000000000002, 0.1, 0.2, 0.5]","[3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.665191429188092, 0.5235987755982988]","[100, 40, 500, 200, 1000]",0.7,200,0,0,0,0,VNL_272_1637_117.wav,1,0
546,272,1637,116.54094037952248,0.30000000000000004,0.0,"[233.08188075904496, 349.6228211385675, 466.1637615180899, 582.7047018976124, 699.245642277135]","[0.8500000000000001, 0.15000000000000002, 0.1, 0.2, 0.5]","[3.141592653589793, 3.141592653589793, 1.5707963267948966, 3.665191429188092, 0.5235987755982988]","[100, 40, 500, 200, 1000]",0.7,200,10,6,4,0.5,CHR_272_1637_117.wav,0,1
547,273,1643,783.9908719634985,0.75,5.759586531581287,"[1567.981743926997, 2351.9726158904955, 3135.963487853994, 3919.954359817493, 4703.945231780991]","[0.1, 0.8, 0.55, 0.6000000000000001, 0.5]","[5.759586531581287, 2.617993877991494, 3.141592653589793, 1.5707963267948966, 5.759586531581287]","[300, 40, 0, 50, 1500]",0.8,50,0,0,0,0,VNL_273_1643_784.wav,1,0
548,273,1643,783.9908719634985,0.75,5.759586531581287,"[1567.981743926997, 2351.9726158904955, 3135.963487853994, 3919.954359817493, 4703.945231780991]","[0.1, 0.8, 0.55, 0.6000000000000001, 0.5]","[5.759586531581287, 2.617993877991494, 3.141592653589793, 1.5707963267948966, 5.759586531581287]","[300, 40, 0, 50, 1500]",0.8,50,1,9,2,0.5,CHR_273_1643_784.wav,0,1
549,274,1649,739.9888454232688,0.1,0.0,"[1479.9776908465376, 2219.9665362698065, 2959.955381693075, 3699.944227116344, 4439.933072539613]","[0.4, 0.65, 0.7000000000000001, 0.0, 0.9500000000000001]","[4.1887902047863905, 2.0943951023931953, 3.665191429188092, 3.665191429188092, 3.141592653589793]","[0, 20, 100, 150, 1500]",0.4,150,0,0,0,0,VNL_274_1649_740.wav,1,0
550,274,1649,739.9888454232688,0.1,0.0,"[1479.9776908465376, 2219.9665362698065, 2959.955381693075, 3699.944227116344, 4439.933072539613]","[0.4, 0.65, 0.7000000000000001, 0.0, 0.9500000000000001]","[4.1887902047863905, 2.0943951023931953, 3.665191429188092, 3.665191429188092, 3.141592653589793]","[0, 20, 100, 150, 1500]",0.4,150,4,5,3,0.5,CHR_274_1649_740.wav,0,1
551,275,1655,932.3275230361799,0.15000000000000002,2.617993877991494,"[1864.6550460723597, 2796.98256910854, 3729.3100921447194, 4661.637615180899, 5593.96513821708]","[0.0, 0.55, 0.05, 0.35000000000000003, 0.8]","[5.759586531581287, 4.71238898038469, 0.0, 0.0, 0.5235987755982988]","[1000, 0, 200, 200, 200]",0.6,200,0,0,0,0,VNL_275_1655_932.wav,1,0
552,275,1655,932.3275230361799,0.15000000000000002,2.617993877991494,"[1864.6550460723597, 2796.98256910854, 3729.3100921447194, 4661.637615180899, 5593.96513821708]","[0.0, 0.55, 0.05, 0.35000000000000003, 0.8]","[5.759586531581287, 4.71238898038469, 0.0, 0.0, 0.5235987755982988]","[1000, 0, 200, 200, 200]",0.6,200,25,3,3,0.5,CHR_275_1655_932.wav,0,1
553,276,1661,987.7666025122483,0.9,4.71238898038469,"[1975.5332050244965, 2963.299807536745, 3951.066410048993, 4938.833012561241, 5926.59961507349]","[0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.15000000000000002, 0.75]","[3.665191429188092, 2.617993877991494, 2.0943951023931953, 1.5707963267948966, 5.759586531581287]","[1200, 20, 300, 20, 0]",0.5,20,0,0,0,0,VNL_276_1661_988.wav,1,0
554,276,1661,987.7666025122483,0.9,4.71238898038469,"[1975.5332050244965, 2963.299807536745, 3951.066410048993, 4938.833012561241, 5926.59961507349]","[0.7000000000000001, 0.7000000000000001, 0.7000000000000001, 0.15000000000000002, 0.75]","[3.665191429188092, 2.617993877991494, 2.0943951023931953, 1.5707963267948966, 5.759586531581287]","[1200, 20, 300, 20, 0]",0.5,20,4,7,1,0.5,CHR_276_1661_988.wav,0,1
555,277,1667,233.08188075904496,0.5,2.617993877991494,"[466.1637615180899, 699.245642277135, 932.3275230361799, 1165.4094037952248, 1398.49128455427]","[0.15000000000000002, 0.6000000000000001, 0.8500000000000001, 0.8500000000000001, 0.75]","[0.5235987755982988, 5.759586531581287, 3.665191429188092, 5.235987755982988, 2.0943951023931953]","[1000, 20, 500, 0, 100]",0.7,0,0,0,0,0,VNL_277_1667_233.wav,1,0
556,277,1667,233.08188075904496,0.5,2.617993877991494,"[466.1637615180899, 699.245642277135, 932.3275230361799, 1165.4094037952248, 1398.49128455427]","[0.15000000000000002, 0.6000000000000001, 0.8500000000000001, 0.8500000000000001, 0.75]","[0.5235987755982988, 5.759586531581287, 3.665191429188092, 5.235987755982988, 2.0943951023931953]","[1000, 20, 500, 0, 100]",0.7,0,1,1,1,0.5,CHR_277_1667_233.wav,0,1
557,278,1673,1975.533205024496,0.25,4.71238898038469,"[3951.066410048992, 5926.599615073488, 7902.132820097984, 9877.66602512248, 11853.199230146976]","[0.35000000000000003, 0.65, 0.45, 0.8500000000000001, 0.45]","[4.71238898038469, 3.141592653589793, 2.0943951023931953, 2.0943951023931953, 0.5235987755982988]","[200, 0, 1500, 200, 20]",0.4,200,0,0,0,0,VNL_278_1673_1976.wav,1,0
558,278,1673,1975.533205024496,0.25,4.71238898038469,"[3951.066410048992, 5926.599615073488, 7902.132820097984, 9877.66602512248, 11853.199230146976]","[0.35000000000000003, 0.65, 0.45, 0.8500000000000001, 0.45]","[4.71238898038469, 3.141592653589793, 2.0943951023931953, 2.0943951023931953, 0.5235987755982988]","[200, 0, 1500, 200, 20]",0.4,200,15,5,4,0.5,CHR_278_1673_1976.wav,0,1
559,279,1679,349.2282314330039,0.25,5.235987755982988,"[698.4564628660078, 1047.6846942990117, 1396.9129257320155, 1746.1411571650194, 2095.3693885980233]","[0.4, 0.0, 0.9500000000000001, 0.4, 0.1]","[3.141592653589793, 0.0, 2.617993877991494, 4.1887902047863905, 5.759586531581287]","[100, 20, 1500, 250, 50]",0.6,250,0,0,0,0,VNL_279_1679_349.wav,1,0
560,279,1679,349.2282314330039,0.25,5.235987755982988,"[698.4564628660078, 1047.6846942990117, 1396.9129257320155, 1746.1411571650194, 2095.3693885980233]","[0.4, 0.0, 0.9500000000000001, 0.4, 0.1]","[3.141592653589793, 0.0, 2.617993877991494, 4.1887902047863905, 5.759586531581287]","[100, 20, 1500, 250, 50]",0.6,250,3,3,4,0.5,CHR_279_1679_349.wav,0,1
561,280,1685,233.08188075904496,0.45000000000000007,2.0943951023931953,"[466.1637615180899, 699.245642277135, 932.3275230361799, 1165.4094037952248, 1398.49128455427]","[0.4, 0.55, 0.0, 0.75, 0.8500000000000001]","[4.71238898038469, 2.0943951023931953, 0.0, 0.0, 1.0471975511965976]","[1200, 40, 50, 250, 100]",0.6,250,0,0,0,0,VNL_280_1685_233.wav,1,0
562,280,1685,233.08188075904496,0.45000000000000007,2.0943951023931953,"[466.1637615180899, 699.245642277135, 932.3275230361799, 1165.4094037952248, 1398.49128455427]","[0.4, 0.55, 0.0, 0.75, 0.8500000000000001]","[4.71238898038469, 2.0943951023931953, 0.0, 0.0, 1.0471975511965976]","[1200, 40, 50, 250, 100]",0.6,250,2,6,1,0.5,CHR_280_1685_233.wav,0,1
563,281,1691,130.8127826502993,0.2,0.0,"[261.6255653005986, 392.43834795089793, 523.2511306011972, 654.0639132514966, 784.8766959017959]","[0.65, 0.45, 0.9, 0.1, 0.4]","[0.5235987755982988, 1.0471975511965976, 5.759586531581287, 4.1887902047863905, 3.665191429188092]","[1200, 0, 400, 200, 100]",0.6,200,0,0,0,0,VNL_281_1691_131.wav,1,0
564,281,1691,130.8127826502993,0.2,0.0,"[261.6255653005986, 392.43834795089793, 523.2511306011972, 654.0639132514966, 784.8766959017959]","[0.65, 0.45, 0.9, 0.1, 0.4]","[0.5235987755982988, 1.0471975511965976, 5.759586531581287, 4.1887902047863905, 3.665191429188092]","[1200, 0, 400, 200, 100]",0.6,200,20,10,2,0.5,CHR_281_1691_131.wav,0,1
565,282,1697,87.30705785825097,0.4,2.617993877991494,"[174.61411571650194, 261.9211735747529, 349.2282314330039, 436.53528929125486, 523.8423471495058]","[0.2, 0.05, 0.1, 0.0, 0.55]","[1.0471975511965976, 1.0471975511965976, 4.71238898038469, 5.235987755982988, 3.665191429188092]","[1200, 0, 0, 200, 300]",0.8,200,0,0,0,0,VNL_282_1697_87.wav,1,0
566,282,1697,87.30705785825097,0.4,2.617993877991494,"[174.61411571650194, 261.9211735747529, 349.2282314330039, 436.53528929125486, 523.8423471495058]","[0.2, 0.05, 0.1, 0.0, 0.55]","[1.0471975511965976, 1.0471975511965976, 4.71238898038469, 5.235987755982988, 3.665191429188092]","[1200, 0, 0, 200, 300]",0.8,200,1,10,3,0.5,CHR_282_1697_87.wav,0,1
567,283,1703,587.3295358348151,0.35,1.5707963267948966,"[1174.6590716696303, 1761.9886075044456, 2349.3181433392606, 2936.6476791740756, 3523.977215008891]","[0.45, 0.65, 0.75, 0.65, 0.8]","[3.141592653589793, 1.0471975511965976, 3.141592653589793, 1.5707963267948966, 3.141592653589793]","[20, 20, 400, 250, 1000]",0.7,250,0,0,0,0,VNL_283_1703_587.wav,1,0
568,283,1703,587.3295358348151,0.35,1.5707963267948966,"[1174.6590716696303, 1761.9886075044456, 2349.3181433392606, 2936.6476791740756, 3523.977215008891]","[0.45, 0.65, 0.75, 0.65, 0.8]","[3.141592653589793, 1.0471975511965976, 3.141592653589793, 1.5707963267948966, 3.141592653589793]","[20, 20, 400, 250, 1000]",0.7,250,2,9,3,0.5,CHR_283_1703_587.wav,0,1
569,284,1709,1318.5102276514797,0.45000000000000007,4.71238898038469,"[2637.0204553029594, 3955.530682954439, 5274.040910605919, 6592.551138257399, 7911.061365908878]","[0.9500000000000001, 0.7000000000000001, 0.25, 0.5, 0.9500000000000001]","[0.5235987755982988, 4.71238898038469, 5.759586531581287, 0.5235987755982988, 0.0]","[50, 0, 1500, 250, 0]",0.8,250,0,0,0,0,VNL_284_1709_1319.wav,1,0
570,284,1709,1318.5102276514797,0.45000000000000007,4.71238898038469,"[2637.0204553029594, 3955.530682954439, 5274.040910605919, 6592.551138257399, 7911.061365908878]","[0.9500000000000001, 0.7000000000000001, 0.25, 0.5, 0.9500000000000001]","[0.5235987755982988, 4.71238898038469, 5.759586531581287, 0.5235987755982988, 0.0]","[50, 0, 1500, 250, 0]",0.8,250,15,3,2,0.5,CHR_284_1709_1319.wav,0,1
571,285,1715,466.1637615180899,0.15000000000000002,5.235987755982988,"[932.3275230361799, 1398.49128455427, 1864.6550460723597, 2330.8188075904495, 2796.98256910854]","[0.75, 0.8, 0.55, 0.65, 0.8]","[2.0943951023931953, 3.665191429188092, 1.5707963267948966, 0.0, 4.1887902047863905]","[1200, 20, 50, 250, 20]",0.5,250,0,0,0,0,VNL_285_1715_466.wav,1,0
572,285,1715,466.1637615180899,0.15000000000000002,5.235987755982988,"[932.3275230361799, 1398.49128455427, 1864.6550460723597, 2330.8188075904495, 2796.98256910854]","[0.75, 0.8, 0.55, 0.65, 0.8]","[2.0943951023931953, 3.665191429188092, 1.5707963267948966, 0.0, 4.1887902047863905]","[1200, 20, 50, 250, 20]",0.5,250,25,7,2,0.5,CHR_285_1715_466.wav,0,1
573,286,1721,29.13523509488062,0.25,1.0471975511965976,"[58.27047018976124, 87.40570528464187, 116.54094037952248, 145.6761754744031, 174.81141056928374]","[0.25, 0.65, 0.8, 0.45, 0.2]","[1.5707963267948966, 4.1887902047863905, 3.141592653589793, 3.665191429188092, 3.141592653589793]","[1200, 0, 0, 100, 400]",0.7,100,0,0,0,0,VNL_286_1721_29.wav,1,0
574,286,1721,29.13523509488062,0.25,1.0471975511965976,"[58.27047018976124, 87.40570528464187, 116.54094037952248, 145.6761754744031, 174.81141056928374]","[0.25, 0.65, 0.8, 0.45, 0.2]","[1.5707963267948966, 4.1887902047863905, 3.141592653589793, 3.665191429188092, 3.141592653589793]","[1200, 0, 0, 100, 400]",0.7,100,2,4,3,0.5,CHR_286_1721_29.wav,0,1
575,287,1727,932.3275230361799,0.7000000000000001,4.1887902047863905,"[1864.6550460723597, 2796.98256910854, 3729.3100921447194, 4661.637615180899, 5593.96513821708]","[0.4, 0.1, 0.45, 0.25, 0.1]","[5.759586531581287, 3.665191429188092, 5.759586531581287, 2.617993877991494, 5.759586531581287]","[400, 20, 1000, 200, 200]",0.6,200,0,0,0,0,VNL_287_1727_932.wav,1,0
576,287,1727,932.3275230361799,0.7000000000000001,4.1887902047863905,"[1864.6550460723597, 2796.98256910854, 3729.3100921447194, 4661.637615180899, 5593.96513821708]","[0.4, 0.1, 0.45, 0.25, 0.1]","[5.759586531581287, 3.665191429188092, 5.759586531581287, 2.617993877991494, 5.759586531581287]","[400, 20, 1000, 200, 200]",0.6,200,4,10,4,0.5,CHR_287_1727_932.wav,0,1
577,288,1733,440.0,0.15000000000000002,3.665191429188092,"[880.0, 1320.0, 1760.0, 2200.0, 2640.0]","[0.05, 0.30000000000000004, 0.75, 0.35000000000000003, 0.2]","[3.141592653589793, 2.617993877991494, 0.5235987755982988, 0.5235987755982988, 4.1887902047863905]","[1200, 40, 20, 50, 500]",0.6,50,0,0,0,0,VNL_288_1733_440.wav,1,0
578,288,1733,440.0,0.15000000000000002,3.665191429188092,"[880.0, 1320.0, 1760.0, 2200.0, 2640.0]","[0.05, 0.30000000000000004, 0.75, 0.35000000000000003, 0.2]","[3.141592653589793, 2.617993877991494, 0.5235987755982988, 0.5235987755982988, 4.1887902047863905]","[1200, 40, 20, 50, 500]",0.6,50,1,5,4,0.5,CHR_288_1733_440.wav,0,1
579,289,1739,65.40639132514966,0.7000000000000001,2.617993877991494,"[130.8127826502993, 196.21917397544897, 261.6255653005986, 327.0319566257483, 392.43834795089793]","[0.65, 0.0, 0.25, 0.8, 0.35000000000000003]","[5.235987755982988, 5.759586531581287, 5.235987755982988, 0.5235987755982988, 2.0943951023931953]","[100, 40, 300, 200, 1000]",0.7,200,0,0,0,0,VNL_289_1739_65.wav,1,0
580,289,1739,65.40639132514966,0.7000000000000001,2.617993877991494,"[130.8127826502993, 196.21917397544897, 261.6255653005986, 327.0319566257483, 392.43834795089793]","[0.65, 0.0, 0.25, 0.8, 0.35000000000000003]","[5.235987755982988, 5.759586531581287, 5.235987755982988, 0.5235987755982988, 2.0943951023931953]","[100, 40, 300, 200, 1000]",0.7,200,5,10,3,0.5,CHR_289_1739_65.wav,0,1
581,290,1745,155.56349186104046,0.35,0.0,"[311.1269837220809, 466.6904755831214, 622.2539674441618, 777.8174593052023, 933.3809511662428]","[0.25, 0.05, 0.25, 0.45, 0.45]","[4.71238898038469, 3.665191429188092, 0.5235987755982988, 3.665191429188092, 2.617993877991494]","[1500, 0, 20, 100, 100]",0.4,100,0,0,0,0,VNL_290_1745_156.wav,1,0
582,290,1745,155.56349186104046,0.35,0.0,"[311.1269837220809, 466.6904755831214, 622.2539674441618, 777.8174593052023, 933.3809511662428]","[0.25, 0.05, 0.25, 0.45, 0.45]","[4.71238898038469, 3.665191429188092, 0.5235987755982988, 3.665191429188092, 2.617993877991494]","[1500, 0, 20, 100, 100]",0.4,100,25,9,3,0.5,CHR_290_1745_156.wav,0,1
583,291,1751,146.8323839587038,0.4,3.141592653589793,"[293.6647679174076, 440.4971518761114, 587.3295358348151, 734.1619197935189, 880.9943037522228]","[0.7000000000000001, 0.9, 0.35000000000000003, 0.55, 0.0]","[2.617993877991494, 3.141592653589793, 4.1887902047863905, 2.0943951023931953, 2.617993877991494]","[200, 0, 1000, 300, 50]",0.7,300,0,0,0,0,VNL_291_1751_147.wav,1,0
584,291,1751,146.8323839587038,0.4,3.141592653589793,"[293.6647679174076, 440.4971518761114, 587.3295358348151, 734.1619197935189, 880.9943037522228]","[0.7000000000000001, 0.9, 0.35000000000000003, 0.55, 0.0]","[2.617993877991494, 3.141592653589793, 4.1887902047863905, 2.0943951023931953, 2.617993877991494]","[200, 0, 1000, 300, 50]",0.7,300,4,4,2,0.5,CHR_291_1751_147.wav,0,1
585,292,1757,130.8127826502993,0.15000000000000002,0.5235987755982988,"[261.6255653005986, 392.43834795089793, 523.2511306011972, 654.0639132514966, 784.8766959017959]","[0.05, 0.30000000000000004, 0.55, 0.45, 0.8]","[4.1887902047863905, 5.235987755982988, 3.665191429188092, 3.665191429188092, 3.141592653589793]","[300, 20, 1000, 250, 100]",0.5,250,0,0,0,0,VNL_292_1757_131.wav,1,0
586,292,1757,130.8127826502993,0.15000000000000002,0.5235987755982988,"[261.6255653005986, 392.43834795089793, 523.2511306011972, 654.0639132514966, 784.8766959017959]","[0.05, 0.30000000000000004, 0.55, 0.45, 0.8]","[4.1887902047863905, 5.235987755982988, 3.665191429188092, 3.665191429188092, 3.141592653589793]","[300, 20, 1000, 250, 100]",0.5,250,25,9,1,0.5,CHR_292_1757_131.wav,0,1
587,293,1763,77.78174593052023,0.5,3.141592653589793,"[155.56349186104046, 233.3452377915607, 311.1269837220809, 388.90872965260115, 466.6904755831214]","[0.7000000000000001, 0.8, 0.1, 0.4, 0.8500000000000001]","[1.0471975511965976, 4.1887902047863905, 3.141592653589793, 4.1887902047863905, 2.617993877991494]","[1200, 40, 100, 250, 0]",0.8,250,0,0,0,0,VNL_293_1763_78.wav,1,0
588,293,1763,77.78174593052023,0.5,3.141592653589793,"[155.56349186104046, 233.3452377915607, 311.1269837220809, 388.90872965260115, 466.6904755831214]","[0.7000000000000001, 0.8, 0.1, 0.4, 0.8500000000000001]","[1.0471975511965976, 4.1887902047863905, 3.141592653589793, 4.1887902047863905, 2.617993877991494]","[1200, 40, 100, 250, 0]",0.8,250,25,8,4,0.5,CHR_293_1763_78.wav,0,1
589,294,1769,116.54094037952248,0.2,2.617993877991494,"[233.08188075904496, 349.6228211385675, 466.1637615180899, 582.7047018976124, 699.245642277135]","[0.30000000000000004, 0.30000000000000004, 0.8, 0.1, 0.0]","[5.759586531581287, 2.0943951023931953, 4.71238898038469, 3.141592653589793, 3.665191429188092]","[1000, 0, 200, 250, 400]",0.7,250,0,0,0,0,VNL_294_1769_117.wav,1,0
590,294,1769,116.54094037952248,0.2,2.617993877991494,"[233.08188075904496, 349.6228211385675, 466.1637615180899, 582.7047018976124, 699.245642277135]","[0.30000000000000004, 0.30000000000000004, 0.8, 0.1, 0.0]","[5.759586531581287, 2.0943951023931953, 4.71238898038469, 3.141592653589793, 3.665191429188092]","[1000, 0, 200, 250, 400]",0.7,250,3,4,3,0.5,CHR_294_1769_117.wav,0,1
591,295,1775,329.6275569128699,0.75,4.71238898038469,"[659.2551138257398, 988.8826707386097, 1318.5102276514797, 1648.1377845643497, 1977.7653414772194]","[0.25, 0.30000000000000004, 0.65, 0.5, 0.6000000000000001]","[5.759586531581287, 3.141592653589793, 1.5707963267948966, 4.1887902047863905, 0.5235987755982988]","[1500, 20, 0, 300, 50]",0.5,300,0,0,0,0,VNL_295_1775_330.wav,1,0
592,295,1775,329.6275569128699,0.75,4.71238898038469,"[659.2551138257398, 988.8826707386097, 1318.5102276514797, 1648.1377845643497, 1977.7653414772194]","[0.25, 0.30000000000000004, 0.65, 0.5, 0.6000000000000001]","[5.759586531581287, 3.141592653589793, 1.5707963267948966, 4.1887902047863905, 0.5235987755982988]","[1500, 20, 0, 300, 50]",0.5,300,15,9,2,0.5,CHR_295_1775_330.wav,0,1
593,296,1781,2637.02045530296,0.25,2.617993877991494,"[5274.04091060592, 7911.061365908879, 10548.08182121184, 13185.102276514799, 15822.122731817759]","[0.9, 0.05, 0.8, 0.8, 0.1]","[2.617993877991494, 1.0471975511965976, 2.0943951023931953, 0.0, 3.665191429188092]","[100, 20, 1000, 250, 200]",0.7,250,0,0,0,0,VNL_296_1781_2637.wav,1,0
594,296,1781,2637.02045530296,0.25,2.617993877991494,"[5274.04091060592, 7911.061365908879, 10548.08182121184, 13185.102276514799, 15822.122731817759]","[0.9, 0.05, 0.8, 0.8, 0.1]","[2.617993877991494, 1.0471975511965976, 2.0943951023931953, 0.0, 3.665191429188092]","[100, 20, 1000, 250, 200]",0.7,250,20,3,3,0.5,CHR_296_1781_2637.wav,0,1
